Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
United States,"Founded in 2013, HouseCanary is a real estate technology company providing the most accurate home valuations to drive smarter decisions across the real estate ecosystem. With a 2.9% Median Absolute Prediction Error (MdAPE), our accuracy is unmatched in the industry. We have assembled the most comprehensive dataset in the residential real estate industry, drawing from over 200 individual databases.",Founded 2013,Undisclosed,50 - 249,,Undisclosed,"201 Spear,",HouseCanary,https://www.housecanary.com/
Spain,Bismart is a technology consulting firm specialized in Data Management and Analytics solutions and services awarded by Microsoft as Best Worldwide Partner. We help organizations get the most out of their data by developing technology-based business solutions.,Founded 2009,Undisclosed,50 - 249,+34.931.786.880,Undisclosed,"Carrer de Castella, 41-43",Bismart,https://bismart.com
United Kingdom,Applied Data Science Partners (ADSP) is an innovative consultancy dedicated to giving businesses value through data. Exceptional unique solutions powered by the best talent in the industry.,Founded 2016,$150 - $199 / hr,10 - 49,02080127972,"$25,000+",318 Old Street,Applied Data Science Partners,https://adsp.ai
Poland,"provides software & cloud solutions in the area of predictive analytics, risk management, data quality, social network analysis and advanced analysis of large data sets. Solutions created by Algolytics are supported by many years of experience gained in projects involving analysis and modeling of large customer datasets (billions of records).",Founded 2019,Undisclosed,10 - 49,+48 691 303 305,Undisclosed,Przeskok 2,Algolytics Technologies,https://algolytics.com/
Pakistan,"ALGORYC is an innovative young start-up that aims to redefine processes and industries using Mathematics, Artificial Intelligence and Cloud Computing.",Founded 2022,$25 - $49 / hr,2 - 9,+923155226935,"$5,000+","K-04, Second Floor, Street 43/4, Sector F, DHA, Islamabad",ALGORYC,https://algoryc.com
United States,"Attivio is the choice of mid- and large-sized organizations for over a decade. Attivio delivers intelligent answers and insights that enable companies to answer the most complex questions asked by their employees, customers, and support teams. Using AI technologies like Machine Learning, Natural Language Processing, and Text Analytics, Attivio helps companies increase call deflection, improve self-service success, and decrease mean time to resolution.",Founded 2007,Undisclosed,50 - 249,857.226.5040,Undisclosed,"100 Summer St, 31st Floor",Attivio,https://www.attivio.com/
,,,,,,,,blackthorn.ai,https://blackthorn.ai/
Colombia,"Technology for the monitoring and analysis of social networks for people and brands: Account Status, Digital Trends and Audience analysis in a single platform. We also offer personalized consulting and artificial intelligence developments for content generation.",Founded 2017,Undisclosed,10 - 49,+57 310 2810458,Undisclosed,"Cra 4A No 26A-91, Edificio Independencia, Piso 1802",Whale & Jaguar,http://whaleandjaguar.co/
Kazakhstan,"Pushing the edge of what's possible in real estate and construction using AI, blockchain, IoT, robots, drones, AR and VR",Founded 0,$25 - $49 / hr,250 - 999,+77021579392,Undisclosed,"Е-10 street, 17М",BI Innovations,http://www.bi-innovations.com/
Canada,"NowVertical Group is a Vertical Intelligence software and services company driving business and organizational growth by combining industry-specific technology and expertise to quickly and effectively unlock the true power of your current stack, staff, and data holdings.",Founded 2020,Undisclosed,250 - 999,+1 2075766879,Undisclosed,"333 Bay Street, Suite 3400",NowVertical Group,https://www.nowvertical.com/
,"We integrate our cutting-edge analytical, technological, and business expertise to build software that optimizes your organization’s resources and solves its most complex challenges.",Founded 2016,Undisclosed,10 - 49,,"$5,000+",,Erdos Technologies,https://www.erdostechnologies.com
